ANC_EMPLOI;STITUATION_FAM;MODE_LOGT;AGE_VEH;VN_VO;MARQUE;PRIX_VEH;MT_APPORT;MT_FINANCE;MT_MENS;VR_BALLON;DUREE_CONTRAT;MT_PREST;MT_ASSUR;mois_gestion;age_cli;anciennete_rci;pc_appo;def12_31
133;1;2;NA;VN;REN;21175,05;0;21175,05;123,38;21174,04;6;NA;NA;01/02/2015;34;1;0;0
133;1;2;NA;VN;REN;21658,85;0;21658,85;126,19;21657,88;6;NA;NA;01/07/2015;34;1;0;0
551;1;2;NA;VN;REN;14500;4560,37;9939,63;276,1;NA;36;NA;NA;01/11/2014;78;1;31;0
340;1;2;NA;VN;REN;16500,52;10639;5861,52;162,82;NA;36;NA;NA;01/02/2015;44;3;64;0
215;1;2;NA;VN;REN;21795;2501,42;19293,58;361,6;9006,22;36;150;NA;01/06/2014;53;1;11;0
143;4;2;NA;VN;REN;22320,08;12320;10000,08;277,78;NA;36;NA;NA;01/03/2015;53;2;55;0
179;1;2;NA;VN;REN;18425;3401;15024;372,37;7519,35;24;150;395;01/01/2015;43;2;18;0
131;1;1;NA;VN;REN;19500;1960;17540;327,06;8254,05;36;150;NA;01/11/2014;39;1;10;0
95;1;2;NA;VN;REN;20900;12800;8100;225;NA;36;NA;NA;01/08/2015;53;NA;61;0
76;2;4;14;VO;REN;19250;5477,17;13772,83;282,57;NA;60;150;NA;01/03/2015;27;2;28;0
131;1;2;NA;VN;REN;19700;2800;16900;270,37;9727,82;36;150;NA;01/04/2014;48;1;14;0
323;1;2;NA;VN;REN;23780;4250;19530;400,69;NA;60;150;NA;01/04/2014;67;1;18;0
263;1;2;NA;VN;REN;24480;6788,32;17691,68;346,16;NA;60;150;NA;01/01/2015;51;1;28;0
202;2;2;NA;VN;DAC;23139;3622;19517;381,87;NA;60;150;NA;01/05/2015;49;2;16;0
262;2;4;NA;VN;REN;25500;3636,18;21863,82;448,57;NA;60;150;NA;01/03/2015;40;2;14;0
410;1;2;NA;VN;REN;17780;2780;15000;307,75;NA;60;150;NA;01/03/2015;56;NA;16;0
371;2;2;NA;VN;REN;24939,16;13939;11000,16;305,56;NA;36;NA;399;01/08/2015;61;2;56;0
498;1;2;19;VO;REN;16345;3500;12845;288,99;NA;60;150;395;01/11/2014;57;NA;21;0
179;1;2;NA;VN;NIS;26250;5000;21250;405,8;10500,12;36;150;NA;01/10/2014;40;1;19;0
70;1;2;NA;VN;REN;21000;7000;14000;332,01;NA;48;150;NA;01/09/2014;37;NA;33;0
138;1;2;NA;VN;DAC;19300;3096;16204;332,45;NA;60;150;NA;01/03/2015;36;2;16;0
263;1;1;NA;VN;REN;21895;3686;18209;276,86;9643,03;36;150;395;01/05/2015;68;2;17;0
458;1;2;NA;VN;REN;27900,16;16900;11000,16;305,56;NA;36;NA;NA;01/03/2015;53;2;61;0
129;2;4;NA;VN;REN;24030;3330;20700;424,69;NA;60;150;NA;01/09/2015;28;2;14;0
527;3;2;NA;VN;DAC;18590;6264,11;12325,89;252,88;NA;60;150;NA;01/01/2015;72;1;34;0
19;1;2;NA;VN;REN;26000;4643;21357;438,17;NA;60;150;NA;01/06/2015;54;NA;18;0
71;2;2;NA;VN;REN;22400;2300;20100;340,86;9769,93;36;150;NA;01/02/2015;39;2;10;0
59;1;2;NA;VN;REN;24800;5679;19121;392,3;NA;60;150;NA;01/07/2015;49;2;23;0
90;2;4;NA;VN;DAC;15585;1600;13985;281,75;5613,09;36;150;395;01/05/2014;47;1;10;0
203;1;2;NA;VN;REN;19188,03;12639,99;6548,04;181,89;NA;36;NA;NA;01/08/2015;54;2;66;0
130;1;2;9;VO;REN;18000;1825;16175;324,11;NA;60;150;NA;01/11/2015;74;2;10;0
322;2;2;NA;VN;REN;23500;14833,28;8666,72;361,11;NA;24;NA;NA;01/03/2015;43;2;63;0
154;2;4;NA;VN;REN;20000,16;9000;11000,16;305,56;NA;36;NA;NA;01/02/2015;28;2;45;0
154;11;2;NA;VN;REN;20954;5238,5;15715,5;307,49;NA;60;509;395;01/07/2015;65;2;25;0
74;1;2;NA;VN;DAC;17310;3500;13810;226;7718,69;36;150;NA;01/05/2015;61;2;20;0
48;2;4;NA;VN;REN;17950;2963,95;14986,05;261,32;7008,2;36;150;794;01/07/2015;29;2;17;0
215;1;2;NA;VN;DAC;19310;5469;13841;328,24;NA;48;75;NA;01/01/2015;60;2;28;0
55;1;2;NA;VN;REN;22049;8194,71;13854,29;271,08;NA;60;150;NA;01/07/2015;44;2;37;0
55;1;2;28;VO;DAC;6646,26;1000;5646,26;115,84;NA;60;150;NA;01/07/2015;44;2;15;0
514;1;2;NA;VN;REN;23000,12;14166,8;8833,32;245,37;NA;36;NA;NA;01/07/2015;57;2;62;0
203;1;2;NA;VN;REN;22740,08;12200;10540,08;292,78;NA;36;NA;NA;01/01/2015;50;2;54;0
131;2;4;NA;VN;DAC;13500;1716;11784;209,79;5818,04;36;150;NA;01/10/2015;29;2;13;0
107;1;1;NA;VN;DAC;16784;5800;10984;169,92;6433;36;150;794;01/05/2014;56;NA;35;0
191;11;1;28;VO;DAC;15500;6000;9500;204,19;NA;60;150;395;01/07/2015;40;NA;39;0
45;2;4;20;VO;REN;15335;2335;13000;260,49;NA;60;150;NA;01/11/2015;23;2;15;0
174;1;2;NA;VN;DAC;20000;2033;17967;368,62;NA;60;150;NA;01/10/2015;37;2;10;0
171;4;2;NA;VN;REN;23930;4074,49;19855,51;489,4;NA;48;150;NA;01/02/2015;60;2;17;0
106;1;2;1;VO;REN;18990;9000;9990;449,55;NA;24;150;NA;01/09/2015;46;2;47;0
455;1;2;NA;VN;DAC;19000;3752;15248;253,05;8383,11;36;150;NA;01/03/2014;55;1;20;0
152;1;2;NA;VN;REN;21207,92;10452,92;10755;210,43;NA;60;150;NA;01/04/2014;44;1;49;0
152;1;2;NA;VN;REN;22095;7400;14695;234,71;8473,82;36;150;395;01/06/2015;45;2;33;0
152;1;2;NA;VN;REN;20395;2050;18345;355,57;7208,14;36;150;395;01/08/2015;45;2;10;0
203;1;2;NA;VN;REN;19000,16;8000;11000,16;305,56;NA;36;NA;NA;01/12/2014;64;1;42;0
34;1;1;1;VO;REN;23000;3020,42;19979,58;409,91;NA;60;150;NA;01/10/2014;31;1;13;0
347;1;2;NA;VN;REN;23010;2301;20709;400,54;9174,69;36;150;399;01/10/2014;57;1;10;0
143;1;2;NA;VN;REN;22730;2300;20430;390,71;8253,92;36;150;NA;01/11/2014;53;1;10;0
114;2;4;30;VO;REN;16250;1625;14625;329,03;NA;60;150;NA;01/09/2014;28;1;10;0
563;1;2;35;VO;REN;9995;1995;8000;263,81;NA;36;150;NA;01/11/2014;64;1;20;0
369;1;2;NA;VN;REN;21395;5395;16000;248,65;9500,13;36;150;395;01/10/2015;52;2;25;0
78;5;2;NA;VN;REN;24709;8029;16680;251,86;10195,67;36;150;NA;01/04/2015;54;2;32;0
263;1;2;NA;VN;DAC;16985;5910,14;11074,86;262,64;NA;48;150;395;01/07/2014;40;1;35;0
203;1;2;NA;VN;REN;18030;9180;8850;245,83;NA;36;NA;NA;01/01/2015;31;2;51;0
116;1;1;NA;VN;REN;24920;4300;20620;469,28;NA;48;150;NA;01/09/2014;47;1;17;0
61;2;2;NA;VN;REN;19000;8000;11000;215,23;NA;60;150;NA;01/10/2015;54;NA;42;0
